fdcId,description,Calcium(Milligrams),Calories,Iron(Milligrams),Magnesium(Milligrams),Potassium(Milligrams),Protein(Grams),Vitamin A(Micrograms),Vitamin B-12(Micrograms),Vitamin C(Milligrams),Vitamin D(Micrograms),Zinc(Milligrams)
2705933,"Chicken, NS as to part, baked, broiled, or roasted, skin eaten",9.0,203.0,0.81,23.0,273.0,24.7,16.0,0.3,0.0,0.1,1.43
2705934,"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten",8.0,165.0,0.79,26.0,311.0,27.3,8.0,0.29,0.0,0.1,1.54
2705935,"Chicken, NS as to part, rotisserie, NS as to skin eaten",14.0,164.0,0.73,23.0,279.0,26.8,8.0,0.36,0.0,0.0,1.61
2705936,"Chicken, NS as to part, rotisserie, skin eaten",17.0,196.0,0.74,23.0,270.0,25.1,15.0,0.39,0.0,0.0,1.47
2705937,"Chicken, NS as to part, rotisserie, skin not eaten",14.0,164.0,0.73,23.0,279.0,26.8,8.0,0.36,0.0,0.0,1.61
2705938,"Chicken, NS as to part, stewed, NS as to skin eaten",9.0,156.0,0.77,25.0,293.0,26.0,8.0,0.29,0.0,0.1,1.48
2705939,"Chicken, NS as to part, stewed, skin eaten",9.0,196.0,0.8,22.0,258.0,23.6,15.0,0.29,0.0,0.2,1.36
2705940,"Chicken, NS as to part, stewed, skin not eaten",9.0,156.0,0.77,25.0,293.0,26.0,8.0,0.29,0.0,0.1,1.48
2705941,"Chicken, NS as to part, grilled without sauce, NS as to skin eaten",8.0,179.0,0.77,25.0,304.0,26.7,8.0,0.29,0.0,0.1,1.5
2705942,"Chicken, NS as to part, grilled without sauce, skin eaten",9.0,217.0,0.8,22.0,268.0,24.2,16.0,0.29,0.0,0.1,1.4
2705943,"Chicken, NS as to part, grilled without sauce, skin not eaten",8.0,179.0,0.77,25.0,304.0,26.7,8.0,0.29,0.0,0.1,1.5
2705944,"Chicken, NS as to part, grilled with sauce, NS as to skin eaten",13.0,180.0,0.75,23.0,290.0,22.0,8.0,0.23,0.1,0.0,1.26
2705945,"Chicken, NS as to part, grilled with sauce, skin eaten",13.0,211.0,0.76,21.0,260.0,19.9,15.0,0.24,0.1,0.1,1.17
2705946,"Chicken, NS as to part, grilled with sauce, skin not eaten",13.0,180.0,0.75,23.0,290.0,22.0,8.0,0.23,0.1,0.0,1.26
2705947,"Chicken, NS as to part, sauteed, skin eaten",9.0,217.0,0.8,22.0,268.0,24.2,16.0,0.29,0.0,0.1,1.4
2705948,"Chicken, NS as to part, sauteed, skin not eaten",8.0,179.0,0.77,25.0,304.0,26.7,8.0,0.29,0.0,0.1,1.5
2705949,"Chicken, NS as to part, fried, coated, skin / coating eaten",44.0,251.0,0.86,24.0,264.0,21.8,14.0,0.4,0.0,0.1,1.26
2705950,"Chicken, NS as to part, fried, coated, skin / coating not eaten",22.0,164.0,0.75,25.0,286.0,26.2,8.0,0.45,0.0,0.1,1.57
2705951,"Chicken, NS as to part, baked, coated, skin / coating eaten",44.0,251.0,0.86,24.0,264.0,21.8,14.0,0.4,0.0,0.1,1.26
2705952,"Chicken, NS as to part, baked, coated, skin / coating not eaten",22.0,164.0,0.75,25.0,286.0,26.2,8.0,0.45,0.0,0.1,1.57
2706081,"Chicken, back",21.0,298.0,1.41,20.0,208.0,25.7,104.0,0.27,0.0,0.1,2.23
2706082,"Chicken, neck or ribs",27.0,245.0,2.28,13.0,107.0,19.4,48.0,0.14,0.0,0.1,2.7
2706083,"Chicken, tail",14.0,454.0,1.51,15.0,136.0,20.4,78.0,0.2,0.0,0.2,1.23
2706086,"Chicken, canned, meat only",14.0,185.0,1.3,19.0,153.0,25.3,53.0,1.0,0.0,0.1,2.5
2706087,"Chicken, chicken roll, roasted",15.0,164.0,0.73,23.0,278.0,26.7,8.0,0.36,0.0,0.0,1.6
2706091,"Chicken, ground",28.0,201.0,1.51,30.0,292.0,27.1,24.0,1.33,0.0,0.2,3.08
2706104,"Turkey, NFS",11.0,139.0,0.65,31.0,247.0,28.8,3.0,0.82,0.0,0.3,1.63
2706105,"Turkey, light meat, skin not eaten",11.0,139.0,0.65,31.0,247.0,28.8,3.0,0.82,0.0,0.3,1.63
2706106,"Turkey, light meat, skin eaten",12.0,169.0,0.73,31.0,247.0,28.3,10.0,0.9,0.0,0.4,1.66
2706107,"Turkey, light meat, breaded, baked or fried, skin not eaten",26.0,173.0,1.02,32.0,241.0,27.3,3.0,0.77,0.0,0.3,1.6
2706108,"Turkey, light meat, breaded, baked or fried, skin eaten",27.0,200.0,1.09,32.0,241.0,26.8,9.0,0.84,0.0,0.4,1.63
2706109,"Turkey, light meat, roasted, skin not eaten",11.0,139.0,0.65,31.0,247.0,28.8,3.0,0.82,0.0,0.3,1.63
2706110,"Turkey, light meat, roasted, skin eaten",12.0,169.0,0.73,31.0,247.0,28.3,10.0,0.9,0.0,0.4,1.66
2706111,"Turkey, dark meat, roasted, skin not eaten",17.0,167.0,1.3,26.0,225.0,26.9,5.0,1.64,0.0,0.3,3.44
2706112,"Turkey, dark meat, roasted, skin eaten",17.0,202.0,1.31,26.0,227.0,26.5,15.0,1.64,0.0,0.4,3.26
2706113,"Turkey, light and dark meat, roasted, skin not eaten",14.0,151.0,0.93,28.0,237.0,28.0,4.0,1.18,0.0,0.3,2.41
2706114,"Turkey, light and dark meat, roasted, skin eaten",15.0,183.0,0.99,29.0,238.0,27.5,12.0,1.23,0.0,0.4,2.37
2706115,"Turkey, light or dark meat, fried, coated, skin not eaten",16.0,165.0,1.01,28.0,235.0,27.2,6.0,1.15,0.0,0.3,2.35
2706116,"Turkey, light or dark meat, fried, coated, skin eaten",17.0,192.0,1.04,28.0,231.0,26.2,13.0,1.17,0.0,0.4,2.26
2706117,"Turkey, light or dark meat, stewed, skin not eaten",16.0,158.0,1.18,37.0,324.0,31.2,12.0,1.71,0.0,0.3,2.53
2706119,"Turkey, light or dark meat, smoked, skin eaten",26.0,208.0,1.79,25.0,280.0,28.1,0.0,0.35,0.0,0.0,2.96
2706120,"Turkey, light or dark meat, smoked, skin not eaten",25.0,162.0,1.78,26.0,298.0,29.3,0.0,0.37,0.0,0.1,3.1
2706121,"Turkey, drumstick, cooked, skin not eaten",12.0,144.0,0.82,29.0,240.0,28.5,4.0,1.8,0.0,0.3,2.27
2706122,"Turkey, drumstick, cooked, skin eaten",32.0,206.0,2.28,23.0,278.0,27.6,0.0,0.36,0.0,0.1,4.23
2706123,"Turkey, drumstick, roasted, skin not eaten",12.0,144.0,0.82,29.0,240.0,28.5,4.0,1.8,0.0,0.3,2.27
2706124,"Turkey, drumstick, roasted, skin eaten",27.0,203.0,1.87,23.0,262.0,26.9,5.0,0.79,0.0,0.2,3.86
2706125,"Turkey, thigh, cooked, skin eaten",9.0,182.0,1.34,22.0,256.0,24.4,13.0,1.65,0.0,0.3,3.06
2706126,"Turkey, thigh, cooked, skin not eaten",17.0,161.0,1.3,26.0,225.0,26.9,5.0,1.64,0.0,0.3,3.44
2706127,"Turkey, neck",58.0,161.0,1.17,18.0,113.0,22.3,0.0,1.41,0.0,0.3,4.0
2706128,"Turkey, wing, cooked, skin not eaten",11.0,139.0,0.65,31.0,247.0,28.8,3.0,1.1,0.0,0.3,1.63
2706129,"Turkey, wing, cooked, skin eaten",21.0,202.0,1.16,26.0,258.0,26.9,3.0,0.79,0.0,0.2,1.88
2706130,"Turkey, tail",13.0,294.0,0.59,25.0,217.0,22.2,19.0,1.45,0.0,1.1,1.31
2706131,"Turkey, back",15.0,203.0,0.67,29.0,250.0,25.6,22.0,1.67,0.0,0.5,1.51
2706132,"Turkey, canned",14.0,185.0,1.3,19.0,153.0,25.3,53.0,1.0,0.0,0.1,2.5
2706133,"Turkey, ground",31.0,211.0,1.55,29.0,301.0,26.9,30.0,1.88,0.0,0.2,3.74
2706134,"Turkey, nuggets",54.0,236.0,1.7,30.0,217.0,22.2,3.0,1.28,0.0,0.2,1.97
2706190,"Sausage, NFS",9.0,325.0,1.2,16.0,342.0,18.5,28.0,0.98,0.0,1.4,2.45
2706206,"Ham, prepackaged or deli, luncheon meat",5.0,101.0,0.58,19.0,425.0,16.7,0.0,0.36,0.0,0.6,1.52
2706207,"Ham, prepackaged or deli, luncheon meat, reduced sodium",5.0,101.0,0.58,19.0,425.0,16.7,0.0,0.36,0.0,0.6,1.52
2706208,"Chicken, prepackaged or deli, luncheon meat",11.0,98.0,0.39,26.0,360.0,17.4,2.0,0.14,0.0,0.1,0.51
2706209,"Chicken, prepackaged or deli, luncheon meat, reduced sodium",11.0,98.0,0.39,26.0,360.0,17.4,2.0,0.14,0.0,0.1,0.51
2706215,"Turkey, prepackaged or deli, luncheon meat",14.0,106.0,0.42,19.0,371.0,14.8,0.0,0.37,0.0,0.2,0.94
2706216,"Turkey, prepackaged or deli, luncheon meat, reduced sodium",14.0,106.0,0.42,19.0,371.0,14.8,0.0,0.37,0.0,0.2,0.94
2706218,"Beef, prepackaged or deli, luncheon meat",5.0,115.0,2.05,20.0,647.0,18.6,3.0,2.04,0.0,0.0,3.2
2706219,"Beef, prepackaged or deli, luncheon meat, reduced sodium",5.0,115.0,2.05,20.0,647.0,18.6,3.0,2.04,0.0,0.0,3.2
2706223,"Fish, raw",18.0,94.0,0.32,22.0,272.0,17.2,8.0,2.18,0.0,1.3,0.5
2706224,"Fish, NFS",17.0,238.0,0.86,27.0,329.0,19.3,29.0,2.4,0.9,5.3,0.46
2706225,"Fish, NS as to type, baked or broiled",12.0,208.0,0.44,30.0,397.0,23.0,42.0,3.01,1.1,6.5,0.47
2706226,"Fish, NS as to type, baked or broiled, coated",19.0,223.0,0.96,29.0,353.0,20.7,41.0,2.57,1.0,5.7,0.5
2706227,"Fish, NS as to type, fried",21.0,269.0,1.16,23.0,269.0,16.0,17.0,1.88,0.8,4.2,0.44
2706228,"Fish, NS as to type, steamed",11.0,171.0,0.45,31.0,404.0,23.4,23.0,3.07,1.2,6.7,0.48
2706229,"Fish, canned",241.0,156.0,2.04,37.0,194.0,23.2,130.0,6.94,0.9,7.3,1.02
2706230,"Fish, smoked",49.0,116.0,1.4,54.0,415.0,25.2,24.0,1.6,0.0,0.8,0.5
2706231,"Fish, stick",16.0,277.0,0.84,25.0,185.0,11.0,4.0,0.96,0.0,0.0,0.42
2706232,"Fish, anchovy",232.0,210.0,4.63,69.0,544.0,28.9,12.0,0.88,0.0,1.7,2.44
2706233,"Fish, carp",53.0,213.0,1.88,34.0,366.0,20.0,30.0,1.46,1.3,26.0,1.65
2706234,"Fish, catfish, NFS",21.0,255.0,1.07,19.0,254.0,13.5,3.0,2.0,0.0,0.2,0.51
2706235,"Fish, catfish, baked or broiled",11.0,189.0,0.29,24.0,376.0,18.9,20.0,3.22,0.0,0.3,0.6
2706236,"Fish, catfish, grilled",11.0,171.0,0.29,24.0,383.0,19.3,10.0,3.29,0.0,0.3,0.61
2706237,"Fish, catfish, baked or broiled, coated",19.0,205.0,0.83,23.0,333.0,17.2,22.0,2.73,0.0,0.3,0.6
2706238,"Fish, catfish, fried",21.0,255.0,1.07,19.0,254.0,13.5,3.0,2.0,0.0,0.2,0.51
2706239,"Fish, catfish, steamed",10.0,150.0,0.29,24.0,382.0,19.2,0.0,3.27,0.0,0.3,0.61
2706240,"Fish, cod, NFS",21.0,217.0,1.02,20.0,203.0,13.5,4.0,1.38,0.0,0.4,0.38
2706241,"Fish, cod, baked or broiled",11.0,126.0,0.2,25.0,292.0,19.0,22.0,2.21,0.0,0.7,0.39
2706242,"Fish, cod, grilled",11.0,108.0,0.2,25.0,298.0,19.4,12.0,2.26,0.0,0.7,0.39
2706243,"Fish, cod, baked or broiled, coated",19.0,152.0,0.75,24.0,263.0,17.3,24.0,1.88,0.0,0.6,0.42
2706244,"Fish, cod, fried",21.0,217.0,1.02,20.0,203.0,13.5,4.0,1.38,0.0,0.4,0.38
2706245,"Fish, cod, steamed",10.0,87.0,0.2,25.0,297.0,19.3,2.0,2.25,0.0,0.6,0.39
2706246,"Fish, croaker",26.0,189.0,0.97,45.0,378.0,19.9,33.0,2.37,0.0,0.8,0.54
2706247,"Fish, eel",31.0,273.0,1.11,24.0,302.0,20.6,951.0,2.85,1.5,24.5,1.8
2706248,"Fish, flounder, NFS",27.0,128.0,0.23,22.0,199.0,15.4,31.0,1.26,0.0,3.5,0.4
2706249,"Fish, flounder, baked or broiled",27.0,128.0,0.23,22.0,199.0,15.4,31.0,1.26,0.0,3.5,0.4
2706250,"Fish, flounder, grilled",27.0,109.0,0.23,23.0,203.0,15.7,21.0,1.29,0.0,3.6,0.41
2706251,"Fish, flounder, baked or broiled, coated",32.0,153.0,0.78,22.0,184.0,14.3,31.0,1.08,0.0,3.0,0.44
2706252,"Fish, flounder, fried",31.0,217.0,1.03,19.0,146.0,11.4,9.0,0.8,0.0,2.2,0.39
2706253,"Fish, flounder, steamed",27.0,88.0,0.23,23.0,202.0,15.7,11.0,1.28,0.0,3.5,0.4
2706254,"Fish, haddock, NFS",23.0,217.0,1.02,21.0,242.0,14.3,14.0,1.28,0.0,0.4,0.39
2706255,"Fish, haddock, baked or broiled",14.0,126.0,0.22,26.0,356.0,20.3,38.0,2.04,0.0,0.7,0.4
2706256,"Fish, haddock, grilled",14.0,108.0,0.22,27.0,363.0,20.7,28.0,2.09,0.0,0.7,0.41
2706257,"Fish, haddock, baked or broiled, coated",22.0,152.0,0.76,25.0,316.0,18.4,37.0,1.74,0.0,0.6,0.44
2706258,"Fish, haddock, fried",23.0,217.0,1.02,21.0,242.0,14.3,14.0,1.28,0.0,0.4,0.39
2706259,"Fish, haddock, steamed",14.0,87.0,0.22,27.0,361.0,20.6,18.0,2.08,0.0,0.6,0.4
2706260,"Fish, halibut",18.0,175.0,0.75,27.0,473.0,20.7,40.0,1.05,0.0,5.0,0.48
2706261,"Fish, herring",70.0,245.0,1.74,37.0,359.0,20.1,47.0,12.9,0.6,4.5,1.14
2706262,"Fish, pickled",77.0,262.0,1.22,8.0,69.0,14.2,258.0,4.27,0.0,2.8,0.53
2706263,"Fish, mackerel, NFS",29.0,237.0,1.45,35.0,505.0,24.9,40.0,4.92,2.0,11.3,0.83
2706264,"Fish, mackerel, baked or broiled",29.0,237.0,1.45,35.0,505.0,24.9,40.0,4.92,2.0,11.3,0.83
2706265,"Fish, mackerel, grilled",30.0,221.0,1.47,36.0,515.0,25.4,31.0,5.02,2.0,11.6,0.85
2706266,"Fish, mackerel, baked or broiled, coated",34.0,245.0,1.8,33.0,442.0,22.3,39.0,4.17,1.7,9.6,0.8
2706267,"Fish, mackerel, fried",32.0,284.0,1.78,26.0,333.0,17.2,15.0,3.04,1.2,7.0,0.66
2706268,"Fish, mackerel, canned",241.0,156.0,2.04,37.0,194.0,23.2,130.0,6.94,0.9,7.3,1.02
2706269,"Fish, mullet",53.0,202.0,1.66,34.0,391.0,21.6,55.0,0.22,1.0,1.6,0.64
2706270,"Fish, perch, NFS",36.0,224.0,1.06,22.0,167.0,13.6,11.0,1.05,0.0,1.0,0.37
2706271,"Fish, perch, baked or broiled",36.0,139.0,0.28,29.0,233.0,19.0,33.0,1.68,0.0,1.5,0.36
2706272,"Fish, perch, grilled",36.0,121.0,0.28,29.0,237.0,19.4,23.0,1.71,0.0,1.5,0.37
2706273,"Fish, perch, baked or broiled, coated",40.0,163.0,0.82,27.0,213.0,17.3,33.0,1.43,0.0,1.3,0.4
2706274,"Fish, perch, fried",36.0,224.0,1.06,22.0,167.0,13.6,11.0,1.05,0.0,1.0,0.37
2706275,"Fish, perch, steamed",101.0,115.0,1.14,38.0,340.0,24.5,10.0,2.16,1.7,3.8,1.4
2706276,"Fish, pike",70.0,172.0,1.16,36.0,288.0,21.5,41.0,1.9,3.2,2.7,0.8
2706277,"Fish, pompano, NFS",28.0,244.0,0.75,34.0,474.0,23.0,62.0,1.45,0.0,13.7,0.9
2706278,"Fish, pompano, baked or broiled",28.0,244.0,0.75,34.0,474.0,23.0,62.0,1.45,0.0,13.7,0.9
2706279,"Fish, pompano, grilled",28.0,228.0,0.76,34.0,483.0,23.4,53.0,1.48,0.0,14.0,0.91
2706280,"Fish, pompano, baked or broiled, coated",33.0,252.0,1.22,32.0,416.0,20.6,58.0,1.24,0.0,11.6,0.85
2706281,"Fish, pompano, fried",31.0,289.0,1.35,25.0,314.0,16.0,29.0,0.91,0.0,8.4,0.7
2706282,"Fish, pompano, steamed",28.0,207.0,0.76,34.0,481.0,23.4,43.0,1.48,0.0,13.9,0.91
2706283,"Fish, snapper",44.0,185.0,0.78,37.0,454.0,22.8,51.0,2.85,1.3,10.8,0.48
2706284,"Fish, salmon, raw",8.0,188.0,0.35,27.0,364.0,20.4,52.0,3.46,2.9,11.0,0.37
2706285,"Fish, salmon, NFS",11.0,274.0,0.44,34.0,452.0,25.4,75.0,3.87,2.9,13.7,0.46
2706286,"Fish, salmon, baked or broiled",11.0,274.0,0.44,34.0,452.0,25.4,75.0,3.87,2.9,13.7,0.46
2706287,"Fish, salmon, grilled",11.0,259.0,0.45,34.0,461.0,25.9,67.0,3.94,3.0,13.9,0.47
2706288,"Fish, salmon, baked or broiled, coated",19.0,277.0,0.95,32.0,398.0,22.7,69.0,3.28,2.5,11.6,0.48
2706289,"Fish, salmon, fried",21.0,307.0,1.16,25.0,301.0,17.4,37.0,2.39,1.8,8.4,0.43
2706290,"Fish, salmon, steamed",11.0,237.0,0.44,34.0,460.0,25.8,56.0,3.93,3.0,13.9,0.46
2706291,"Fish, salmon, canned",60.0,136.0,0.57,24.0,326.0,24.6,20.0,4.96,0.0,14.1,0.65
2706292,"Fish, salmon, smoked",11.0,117.0,0.85,18.0,175.0,18.3,26.0,3.26,0.0,17.1,0.31
2706293,"Fish, sardines, canned",382.0,208.0,2.92,39.0,397.0,24.6,32.0,8.94,0.0,4.8,1.31
2706294,"Fish, bass, NFS",13.0,161.0,0.36,51.0,319.0,22.9,69.0,0.34,0.0,7.0,0.5
2706295,"Fish, bass, baked or broiled",13.0,161.0,0.36,51.0,319.0,22.9,69.0,0.34,0.0,7.0,0.5
2706296,"Fish, bass, grilled",13.0,143.0,0.37,52.0,325.0,23.4,60.0,0.34,0.0,7.1,0.51
2706297,"Fish, bass, baked or broiled, coated",21.0,182.0,0.89,46.0,285.0,20.6,63.0,0.3,0.0,5.9,0.52
2706298,"Fish, bass, fried",22.0,238.0,1.12,36.0,219.0,15.9,32.0,0.23,0.0,4.3,0.45
2706299,"Fish, bass, steamed",13.0,123.0,0.37,52.0,323.0,23.3,49.0,0.34,0.0,7.1,0.5
2706300,"Fish, shark",46.0,216.0,1.47,55.0,184.0,23.3,84.0,1.42,0.0,0.7,0.55
2706301,"Fish, swordfish",15.0,231.0,0.98,34.0,455.0,21.9,54.0,1.62,0.0,14.6,0.79
2706302,"Fish, trout, NFS",34.0,271.0,1.13,24.0,311.0,17.1,57.0,2.97,1.8,12.1,0.49
2706303,"Fish, trout, baked or broiled",32.0,216.0,0.39,31.0,469.0,24.8,109.0,4.81,2.9,19.8,0.56
2706304,"Fish, trout, grilled",32.0,199.0,0.4,32.0,478.0,25.3,101.0,4.91,2.9,20.2,0.57
2706305,"Fish, trout, baked or broiled, coated",36.0,228.0,0.91,29.0,412.0,22.2,97.0,4.07,2.4,16.7,0.57
2706306,"Fish, trout, fried",34.0,271.0,1.13,24.0,311.0,17.1,57.0,2.97,1.8,12.1,0.49
2706307,"Fish, trout, steamed",32.0,178.0,0.39,32.0,476.0,25.2,90.0,4.89,2.9,20.1,0.57
2706308,"Fish, tuna, raw",4.0,109.0,0.77,35.0,441.0,24.4,18.0,2.08,0.0,1.7,0.37
2706309,"Fish, tuna, NFS",18.0,85.0,1.67,23.0,176.0,19.0,17.0,2.57,0.0,1.2,0.66
2706310,"Fish, tuna, cooked",6.0,176.0,0.96,44.0,548.0,30.3,39.0,2.33,0.0,2.2,0.46
2706311,"Fish, tuna, canned",18.0,85.0,1.67,23.0,176.0,19.0,17.0,2.57,0.0,1.2,0.66
2706312,"Fish, whiting, NFS",51.0,233.0,1.15,21.0,214.0,15.8,22.0,1.6,0.0,1.1,0.82
2706313,"Fish, whiting, baked or broiled",60.0,153.0,0.43,26.0,310.0,22.8,52.0,2.57,0.0,1.8,1.09
2706314,"Fish, whiting, grilled",61.0,134.0,0.43,27.0,316.0,23.2,42.0,2.62,0.0,1.8,1.12
2706315,"Fish, whiting, baked or broiled, coated",60.0,174.0,0.94,25.0,278.0,20.5,49.0,2.18,0.0,1.5,1.02
2706316,"Fish, whiting, fried",51.0,233.0,1.15,21.0,214.0,15.8,22.0,1.6,0.0,1.1,0.82
2706317,"Fish, whiting, steamed",61.0,114.0,0.43,27.0,315.0,23.1,32.0,2.62,0.0,1.8,1.11
2706318,"Fish, tilapia, NFS",13.0,160.0,0.7,34.0,376.0,25.0,20.0,1.77,0.0,3.9,0.41
2706319,"Fish, tilapia, baked or broiled",13.0,160.0,0.7,34.0,376.0,25.0,20.0,1.77,0.0,3.9,0.41
2706320,"Fish, tilapia, grilled",13.0,142.0,0.71,34.0,383.0,25.5,10.0,1.8,0.0,4.0,0.42
2706321,"Fish, tilapia, baked or broiled, coated",21.0,180.0,1.17,32.0,333.0,22.3,22.0,1.51,0.0,3.3,0.45
2706322,"Fish, tilapia, fried",22.0,237.0,1.32,25.0,254.0,17.2,3.0,1.1,0.0,2.4,0.4
2706323,"Fish, tilapia, steamed",13.0,121.0,0.71,34.0,382.0,25.4,0.0,1.8,0.0,3.9,0.42
2706324,"Fish, white, mixed species, NFS",12.0,143.0,0.45,29.0,334.0,22.0,21.0,1.99,0.0,2.3,0.4
2706325,"Fish, white, mixed species, baked or broiled",12.0,143.0,0.45,29.0,334.0,22.0,21.0,1.99,0.0,2.3,0.4
2706326,"Fish, white, mixed species, baked or broiled, coated",20.0,166.0,0.96,28.0,298.0,19.8,23.0,1.7,0.0,1.9,0.44
2706327,"Fish, white, mixed species, fried",21.0,227.0,1.17,23.0,228.0,15.3,3.0,1.24,0.0,1.4,0.39
2706328,"Fish, white, mixed species, steamed",11.0,104.0,0.46,30.0,339.0,22.3,1.0,2.02,0.0,2.3,0.4
2706329,"Fish, white, mixed species, grilled",12.0,125.0,0.46,30.0,341.0,22.4,11.0,2.03,0.0,2.3,0.41
2706401,Sweet and sour pork,46.0,260.0,3.07,13.0,152.0,8.88,29.0,0.19,2.3,0.2,1.07
2706435,Sweet and sour chicken or turkey,45.0,250.0,2.12,15.0,158.0,10.1,18.0,0.09,2.4,0.2,0.42
2706436,"Sweet and sour chicken or turkey, without vegetables",45.0,250.0,2.12,15.0,158.0,10.1,18.0,0.09,2.4,0.2,0.42
2706443,Orange chicken,14.0,262.0,0.94,20.0,209.0,14.5,75.0,0.2,0.9,0.1,1.13
2706444,Sesame chicken,12.0,293.0,1.09,22.0,204.0,14.3,83.0,0.25,1.0,0.1,0.91
2706456,Sweet and sour shrimp,33.0,172.0,0.73,16.0,136.0,5.92,20.0,0.28,12.0,0.0,0.47
2706476,"Beef, roast, hash",14.0,140.0,1.43,17.0,335.0,13.2,2.0,0.75,5.5,0.0,2.1
2706550,"Fish, cake or patty",34.0,212.0,0.72,30.0,430.0,13.6,47.0,0.64,0.5,0.8,0.56
2706552,"Fish, salmon cake or patty",23.0,285.0,0.71,22.0,282.0,16.1,51.0,2.24,1.9,7.7,0.48
2706587,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",14.0,126.0,0.78,18.0,280.0,6.93,107.0,0.3,9.4,0.0,1.16
2706588,"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce",12.0,131.0,0.78,21.0,287.0,6.97,4.0,0.3,5.3,0.0,1.19
2706595,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",13.0,129.0,0.59,14.0,215.0,5.23,78.0,0.22,6.9,0.0,0.87
2706596,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",11.0,126.0,0.6,16.0,221.0,5.3,3.0,0.22,3.9,0.0,0.9
2706597,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",23.0,127.0,0.57,14.0,217.0,5.28,77.0,0.25,6.4,0.1,0.85
2706598,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",21.0,128.0,0.57,16.0,223.0,5.33,8.0,0.25,3.6,0.1,0.87
2706599,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",14.0,126.0,0.82,17.0,280.0,5.33,83.0,0.22,8.7,0.0,0.9
2706600,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",12.0,126.0,0.82,19.0,286.0,5.39,8.0,0.22,5.7,0.0,0.92
2706601,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",96.0,127.0,0.69,19.0,253.0,8.14,104.0,0.33,7.4,0.3,1.24
2706602,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",94.0,131.0,0.69,21.0,259.0,8.17,25.0,0.33,4.2,0.3,1.26
2706603,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",22.0,149.0,1.21,18.0,240.0,11.8,91.0,0.59,10.9,0.0,1.96
2706604,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",18.0,148.0,1.2,18.0,241.0,11.8,6.0,0.59,9.9,0.0,1.96
2706605,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",17.0,148.0,1.48,19.0,109.0,8.71,112.0,0.36,5.1,0.1,1.4
2706606,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",14.0,151.0,1.48,22.0,116.0,8.78,7.0,0.36,0.9,0.1,1.44
2706608,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",23.0,139.0,1.08,15.0,202.0,10.3,116.0,0.5,12.6,0.0,1.72
2706609,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",18.0,139.0,1.1,15.0,198.0,10.4,8.0,0.51,11.4,0.0,1.72
2706610,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",16.0,126.0,1.35,18.0,159.0,6.74,88.0,0.27,5.6,0.1,1.1
2706611,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",14.0,130.0,1.35,20.0,164.0,6.77,11.0,0.27,2.5,0.1,1.12
2706612,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",25.0,125.0,1.06,15.0,103.0,6.6,82.0,0.3,3.5,0.2,1.03
2706613,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",23.0,129.0,1.06,17.0,108.0,6.63,10.0,0.3,0.6,0.2,1.05
2706614,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",15.0,127.0,1.12,15.0,92.0,6.65,83.0,0.27,3.8,0.1,1.06
2706615,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",13.0,131.0,1.12,17.0,97.0,6.68,6.0,0.27,0.7,0.1,1.08
2706616,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",16.0,149.0,1.31,14.0,106.0,7.54,107.0,0.31,5.1,0.0,1.3
2706617,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",13.0,149.0,1.32,16.0,113.0,7.62,4.0,0.31,0.9,0.0,1.34
